intensity0	intensity30	intensity60	intensity90
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	3.2	3.2	2.8
2.8	3.2	3.2	2.8
2.8	3.2	3.2	2.8
2.8	3.2	3.2	2.8
2.8	3.2	3.2	2.8
2.8	2.8	3.2	2.8
2.8	2.8	3.2	2.8
2.8	2.8	3.2	2.8
3.2	3.2	3.2	2.8
3.2	3.2	3.2	2.8
3.2	3.2	3.2	2.8
2.8	3.2	3.2	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.4
2.8	2.8	2.8	2.4
2.8	2.8	2.8	2.4
2.8	3.2	2.8	2.8
3.2	3.2	3.2	2.8
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	2.8	3.2
3.2	3.2	2.8	3.2
2.8	3.2	2.8	3.2
2.8	3.2	3.2	3.2
2.8	3.2	3.2	3.2
3.2	3.6	3.2	3.2
3.2	3.6	3.2	3.2
3.2	3.6	3.2	3.2
2.8	3.2	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	2.8	2.8	2.8
2.8	3.2	2.8	2.8
3.2	3.2	3.2	3.2
3.2	3.2	3.6	3.2
3.2	3.2	3.6	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.6	3.6	3.2	3.2
3.6	3.6	3.2	3.2
3.2	3.6	3.2	3.2
2.8	3.2	2.8	3.2
2.8	3.2	2.8	2.8
2.4	3.2	2.8	2.8
2.4	3.2	2.8	2.8
2.4	3.2	2.8	2.8
2.8	3.2	3.2	2.8
3.2	3.2	3.2	3.2
3.2	3.6	3.6	3.6
3.2	3.6	3.6	3.6
3.2	3.2	3.6	3.6
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.6	3.2	3.2
3.6	3.6	3.2	3.2
3.6	3.6	3.2	3.2
3.2	3.6	3.2	3.2
2.8	3.2	3.2	3.2
2.8	3.2	2.8	2.8
2.8	3.2	2.8	2.8
2.8	3.2	2.8	2.8
2.8	3.2	2.8	2.8
3.2	3.2	3.2	2.8
3.6	3.6	3.6	3.2
3.6	3.6	3.6	3.6
3.6	3.6	3.6	3.6
3.2	3.6	3.6	3.6
3.2	3.2	3.6	3.6
3.2	3.2	3.6	3.6
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.2	3.2	3.2
3.2	3.6	3.6	3.2
3.6	4	3.6	3.6
3.6	3.6	3.6	3.6
3.6	3.2	3.6	3.2
3.2	3.2	3.2	2.8
2.8	2.8	3.2	2.8
