intensitywo	intensityw	intensity0	intensity30	intensity60	intensity90	intensityn30	intensityn60	intensityn90
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	2	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
2.8	2	1.6	1.6	1.6	1.6	1.6	1.6	1.6
